ID,ideology,leadership,name,party,description,introduced_bills_116,cosponsored_bills_116,unique_cosponsors_116,total_cosponsors_116
412470,0.20559257293901628,0.947723468739031,Cicilline,Democrat,moderate Democratic leader,22,254,264,876
400326,0.2855553472465867,0.4680187294544981,Price,Democrat,rank-and-file Democrat,7,105,33,34
400623,0.1761722094429819,0.5570945188958073,Wasserman Schultz,Democrat,progressive Democrat,10,267,96,148
412619,0.7292967002143329,0.3161194069588297,Buck,Republican,rank-and-file Republican,4,58,15,16
400653,0.18300117791238732,0.7084774829667141,Green [TX9],Democrat,progressive Democrat,18,111,126,230
400233,0.3311949494948378,0.8019522627510115,Larson,Democrat,moderate Democratic leader,5,84,242,305
400271,0.15755410004853365,0.4680730244741603,Meeks,Democrat,progressive Democrat,5,207,88,126
412195,0.22396366765498626,0.8513943344781155,Castor,Democrat,moderate Democratic leader,11,157,372,553
412529,0.2849297907987487,0.733519558154814,Frankel,Democrat,rank-and-file Democrat,11,102,182,337
412565,0.30876824723481,0.6330292486217144,Beatty,Democrat,rank-and-file Democrat,16,164,78,176
412512,0.3798375784199679,0.43421621573903996,Bera,Democrat,centrist Democrat,5,99,102,115
412652,0.30116029785157705,0.45536194223186505,Boyle,Democrat,rank-and-file Democrat,10,197,66,83
412537,0.3776128555888525,0.5980691442775697,Bustos,Democrat,centrist Democrat,8,107,84,106
412576,0.2925365936850904,0.6569954207378292,Castro,Democrat,rank-and-file Democrat,10,73,247,282
400081,0.3596947555117737,0.31530400986150914,Cooper,Democrat,centrist Democrat,3,144,22,22
400101,0.2753529458467579,0.6683787043889222,DeGette,Democrat,rank-and-file Democrat,13,144,95,115
400124,0.24394986931549761,0.6469887092317228,Eshoo,Democrat,rank-and-file Democrat,16,207,144,270
412257,0.27910327709606775,0.5915835302017481,Foster,Democrat,rank-and-file Democrat,14,160,86,113
412327,0.18537619107320763,0.5000636950763616,Fudge,Democrat,progressive Democrat,2,122,74,91
412532,0.32665997940476027,0.7618488790986367,Gabbard,Democrat,moderate Democratic leader,7,172,191,238
412612,0.24049252893792097,0.5151953153498965,Gallego,Democrat,rank-and-file Democrat,8,221,124,169
412382,0.28192470740842807,0.7034279228148606,Garamendi,Democrat,rank-and-file Democrat,14,214,210,365
400211,0.28944176469161537,0.6091194568653215,Kaptur,Democrat,rank-and-file Democrat,8,147,100,126
400218,0.5269122612002678,0.8518322581279864,Kind,Democrat,centrist Democratic leader,27,134,321,695
412286,0.39579118687718007,0.29852908500575787,Kirkpatrick,Democrat,centrist Democrat,2,113,90,92
412557,0.3840059312782932,0.4574329063288637,Kuster,Democrat,centrist Democrat,10,287,28,29
400246,0.23317308366801062,0.717559134111185,Lowey,Democrat,rank-and-file Democrat,10,110,181,200
400249,0.25091109804079503,0.880993209151987,Lynch,Democrat,moderate Democratic leader,13,149,328,495
400663,0.24093685588285932,0.4935872764043319,Matsui,Democrat,rank-and-file Democrat,8,151,102,121
412189,0.17328846046027951,0.3734959087406658,McNerney,Democrat,progressive Democrat,7,183,29,30
412560,0.2615353790190664,0.7831548925539322,Meng,Democrat,moderate Democratic leader,17,238,175,362
412506,0.17037982342488583,0.7039322728092475,Payne,Democrat,progressive Democrat,10,181,258,366
412192,0.3460804085703152,0.5345135533873048,Perlmutter,Democrat,centrist Democrat,6,140,186,194
412307,0.29493130827524494,0.4315205662802519,Pingree,Democrat,rank-and-file Democrat,7,257,56,68
400350,0.22095918806103693,0.5422696437498064,Rush,Democrat,rank-and-file Democrat,17,268,157,268
400352,0.3325992485711194,0.5423425109011766,Ryan,Democrat,rank-and-file Democrat,22,242,84,119
400355,0.23190238915668934,0.7056073350571158,Sánchez,Democrat,rank-and-file Democrat,13,116,62,81
412212,0.25648002619458976,0.6884310558399159,Sarbanes,Democrat,rank-and-file Democrat,4,129,243,286
400364,0.16532872443720706,0.8584658547118048,Scott [VA3],Democrat,progressive Democratic leader,11,107,241,726
412396,0.3269033813070504,0.813425038450071,Sewell,Democrat,moderate Democratic leader,10,163,284,426
400403,0.3526683261276983,0.8951995677436927,Thompson [CA5],Democrat,centrist Democratic leader,21,131,283,566
412319,0.25468368603951025,0.7218566734349756,Tonko,Democrat,rank-and-file Democrat,12,200,219,423
412617,0.26304167252893246,0.5150552089314602,Torres,Democrat,rank-and-file Democrat,11,135,110,151
412644,0.08918403710666152,0.5897898094328519,Watson Coleman,Democrat,progressive Democrat,11,253,95,152
412211,0.2501119650158815,0.44550624307888836,Yarmuth,Democrat,rank-and-file Democrat,7,137,33,42
400030,0.41916670677283235,0.3380972632636822,Bishop [GA2],Democrat,centrist Democrat,5,145,21,22
412622,0.860443717606756,0.6705350443239154,Carter [GA1],Republican,conservative Republican,6,75,92,110
412531,0.6955767895483091,0.8296705295785933,Collins [GA9],Republican,moderate Republican leader,11,48,122,174
412193,0.3626638230326502,0.8992486408008268,Courtney,Democrat,centrist Democratic leader,8,131,346,636
412460,0.8354278662088294,0.505577513347226,Johnson [OH6],Republican,conservative Republican,1,93,3,3
400659,0.6581156057748112,0.8170074337538904,McMorris Rodgers,Republican,moderate Republican leader,3,84,45,49
412632,0.30528788123526795,0.7519613379740901,Moulton,Democrat,moderate Democratic leader,9,218,164,201
400363,0.36656983873669585,0.4999362945105899,Scott [GA13],Democrat,centrist Democrat,7,96,89,99
400414,0.5598637609845099,0.7069347809608711,Upton,Republican,centrist Republican leader,4,69,261,267
412312,0.25117594235797697,0.5228251274251596,Sablan,Democrat,rank-and-file Democrat,7,103,204,214
412552,0.9595102013516008,0.5346657692558381,Meadows,Republican,conservative Republican,17,215,49,61
412655,0.9928030548147361,0.7205957254115665,Babin,Republican,conservative Republican leader,8,83,132,180
400052,0.7396761514224407,0.6567664233824647,Burgess,Republican,rank-and-file Republican,17,48,39,41
412477,0.8786099154155791,0.3443494509832463,DesJarlais,Republican,conservative Republican,4,68,12,18
400655,0.7444770518004276,0.863026180239329,Conaway,Republican,moderate Republican leader,13,52,128,207
412625,0.8993388535273317,0.2860296315376728,Allen,Republican,conservative Republican,3,75,2,2
412500,0.7342147717127092,0.5065055113147786,Amodei,Republican,rank-and-file Republican,6,40,34,34
412541,0.890410157056876,0.7228868967610708,Barr,Republican,conservative Republican leader,4,74,32,33
412250,0.7388384004191147,0.7406931284966545,Bilirakis,Republican,moderate Republican leader,5,100,94,97
